"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"KICADLOGO";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad-Logo2_6mm_SilkScreen";;;
2;"GPLLOGO";"Symbol_GNU-GPL_SilkScreen_Small";1;"Symbol_GNU-GPL_CopperTop_Small";;;
3;"G***";"atari_800_XL_BW_25x25";1;"LOGO";;;
4;"ABEXLOGO";"ABEX_Logo_22mmx11mm_WB";1;"LOGO";;;
5;"P1";"BUS_PCIexpress_64pin";1;"0877159106";;;
6;"XT2";"Crystal_HC49-4H_Vertical_3D";1;"8Mhz";;;
7;"U14";"TQFP-100_14x14mm_Pitch0.5mm";1;"STM32F407VGTx";;;
8;"U8,U7";"SOP-32L-20.5x11.30-1.27mm";2;"ISSI61WV5128BL";;;
9;"U1";"PSOP14-5x7.40-1.27";1;"74HC04";;;
10;"SW2";"SW_SPST_FSMSM_3D";1;"SW_Push";;;
11;"R32,R31,R5,R7,R8";"R_1206_HandSoldering";5;"4.7K";;;
12;"R30,R23,R22,R18,R1";"R_1206_HandSoldering";5;"0";;;
13;"R29,R27";"R_1206_HandSoldering";2;"510";;;
14;"R28,R26,R21,R20";"R_1206_HandSoldering";4;"10K";;;
15;"R24,R19";"R_1206_HandSoldering";2;"220";;;
16;"R6";"R_1206_HandSoldering";1;"100K";;;
17;"P6";"Measurement_Point_Round-SMD-Pad_Small";1;"CONN_01X01";;;
18;"P5,P4,P3,P2";"MountingHole";4;"CONN_01X01";;;
19;"JP2";"Pin_Header_Angled_1x04";1;"CONN_01X04";;;
20;"JP1,BOOT1_MEM1,BOOT0_MEM1";"Pin_Header_Straight_1x02";3;"CONN_01X02";;;
21;"FT232RPi.1";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
22;"D5";"LED_1206";1;"LED.GREEN";;;
23;"C34,C33";"C_1206_HandSoldering";2;"2.2u";;;
24;"C32";"C_1206_HandSoldering";1;"1u";;;
25;"C31,C30,C27,C26,C25,C24,C23,C22,C21,C5,C4";"C_1206_HandSoldering";11;"100n";;;
26;"C20,C19";"C_1206_HandSoldering";2;"20p";;;
27;"R2,R3,R4";"R_1206_HandSoldering";3;"470";;;
28;"SW1";"SW_DIP_SPSTx03_Slide_9.78x9.8mm_W8.61mm_P2.54mm";1;"SW_DIP_x03";;;
